unit_id,video_id,dancer_id,clip_path,num_segments,total_duration_s,source_fps,target_fps,height,has_audio
3rIk56dcBTM_10,3rIk56dcBTM,10,3rIk56dcBTM_10.mp4,2,51.652,29.97,30,720,1
3rIk56dcBTM_47,3rIk56dcBTM,47,3rIk56dcBTM_47.mp4,2,60.427,29.97,30,720,1
A_KxOaDHi6o_51,A_KxOaDHi6o,51,A_KxOaDHi6o_51.mp4,2,44.444,29.97,30,720,1
A_KxOaDHi6o_47,A_KxOaDHi6o,47,A_KxOaDHi6o_47.mp4,2,57.457,29.97,30,720,1
HQbI8aWRU7o_47,HQbI8aWRU7o,47,HQbI8aWRU7o_47.mp4,3,63.664,29.97,30,720,1
HQbI8aWRU7o_39,HQbI8aWRU7o,39,HQbI8aWRU7o_39.mp4,3,61.628,29.97,30,720,1
MXtmXLpna0I_11,MXtmXLpna0I,11,MXtmXLpna0I_11.mp4,2,51.151,29.97,30,720,1
MXtmXLpna0I_39,MXtmXLpna0I,39,MXtmXLpna0I_39.mp4,2,45.612,29.97,30,720,1
QwlEcwZiPaE_63,QwlEcwZiPaE,63,QwlEcwZiPaE_63.mp4,2,69.336,29.97,30,720,1
QwlEcwZiPaE_25,QwlEcwZiPaE,25,QwlEcwZiPaE_25.mp4,2,47.18,29.97,30,720,1
RS0mFARO1x4_25,RS0mFARO1x4,25,RS0mFARO1x4_25.mp4,4,96.73,29.97,30,720,1
RS0mFARO1x4_47,RS0mFARO1x4,47,RS0mFARO1x4_47.mp4,4,75.475,29.97,30,720,1
fxXOlouckmE_36,fxXOlouckmE,36,fxXOlouckmE_36.mp4,2,57.891,29.97,30,720,1
fxXOlouckmE_54,fxXOlouckmE,54,fxXOlouckmE_54.mp4,2,56.523,29.97,30,720,1
k1RTNQxNt6Q_25,k1RTNQxNt6Q,25,k1RTNQxNt6Q_25.mp4,3,74.508,29.97,30,720,1
k1RTNQxNt6Q_36,k1RTNQxNt6Q,36,k1RTNQxNt6Q_36.mp4,3,77.21,29.97,30,720,1
-mT5x-j_TpI_62,-mT5x-j_TpI,62,-mT5x-j_TpI_62.mp4,3,55.756,29.97,30,720,1
